epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97249,2.01224,75.8911,2.15651,0.00062,0.82759,0.05978,0.03095,1.73391,24.7616,1.76339,0.000648649,0.000648649,0.000648649
2,13.3454,2.18524,50.9495,2.12736,0.00041,0.55172,0.00497,0.00259,2.84525,32.2408,4.0213,0.0012285,0.0012285,0.0012285
3,18.9274,2.65554,52.6626,2.3708,0.25885,0.17241,0.11991,0.04277,2.81713,81.0622,5.41326,0.00172036,0.00172036,0.00172036
4,24.3996,3.11821,36.8309,2.72597,0.09639,0.37931,0.107,0.05688,2.72629,538.511,5.68514,0.001604,0.001604,0.001604
5,29.779,3.26664,32.6578,2.83545,0.23182,0.17241,0.1556,0.04742,2.95247,64.1647,3.77688,0.001472,0.001472,0.001472
6,51.9109,2.60462,30.9931,2.50502,0.27772,0.17241,0.10835,0.05849,2.81404,40.9681,3.008,0.00134,0.00134,0.00134
7,57.7964,2.13908,26.3349,2.14898,0.30202,0.23884,0.18651,0.06094,2.65858,24.7292,3.39393,0.001208,0.001208,0.001208
8,63.5877,2.23505,20.0322,2.16777,0.33006,0.27586,0.24374,0.13806,2.3035,5.28123,2.45762,0.001076,0.001076,0.001076
9,69.3926,2.35179,16.5737,2.14815,0.51477,0.43926,0.41129,0.1978,2.23439,4.9782,2.28767,0.000944,0.000944,0.000944
10,75.4255,2.12045,14.3012,2.18239,0.47469,0.31034,0.32608,0.16557,2.25723,3.09782,2.12434,0.000812,0.000812,0.000812
11,80.6341,1.86091,12.7364,1.85059,0.54725,0.48276,0.51678,0.31136,1.83575,2.89229,1.98315,0.00068,0.00068,0.00068
12,86.4307,2.06994,11.1564,2.0107,0.53792,0.44828,0.50774,0.28703,1.78101,2.5322,1.84508,0.000548,0.000548,0.000548
13,91.8547,1.59544,10.8151,1.65237,0.44642,0.58621,0.46729,0.31632,1.74613,2.0017,1.82051,0.000416,0.000416,0.000416
14,97.1101,1.70538,9.69398,1.72714,0.52867,0.48276,0.54104,0.35666,1.61165,1.99989,1.77517,0.000284,0.000284,0.000284
15,102.365,1.48917,9.28516,1.51112,0.55855,0.58621,0.55501,0.36974,1.40697,2.03226,1.67887,0.000152,0.000152,0.000152
